language,variant,excluded_deprel_policy,symbol_id,symbol,n,frozen,status
grc,ud23,drop,0,ADV:advmod,18138,False,PROVISIONAL
grc,ud23,drop,1,VERB:root,13225,False,PROVISIONAL
grc,ud23,drop,2,DET:det,11812,False,PROVISIONAL
grc,ud23,drop,3,ADJ:nmod,11581,False,PROVISIONAL
grc,ud23,drop,4,NOUN:obj,11160,False,PROVISIONAL
grc,ud23,drop,5,ADP:case,10599,False,PROVISIONAL
grc,ud23,drop,6,NOUN:obl,9371,False,PROVISIONAL
grc,ud23,drop,7,VERB:advcl,9370,False,PROVISIONAL
grc,ud23,drop,8,PART:advmod,8761,False,PROVISIONAL
grc,ud23,drop,9,NOUN:nsubj,8324,False,PROVISIONAL
grc,ud23,drop,10,NOUN:nmod,6917,False,PROVISIONAL
grc,ud23,drop,11,CCONJ:cc,5316,False,PROVISIONAL
grc,ud23,drop,12,VERB:conj,5297,False,PROVISIONAL
grc,ud23,drop,13,PART:cc,4851,False,PROVISIONAL
grc,ud23,drop,14,PRON:obj,4138,False,PROVISIONAL
grc,ud23,drop,15,PRON:nsubj,3671,False,PROVISIONAL
grc,ud23,drop,16,VERB:xcomp,2843,False,PROVISIONAL
grc,ud23,drop,17,NOUN:conj,2765,False,PROVISIONAL
grc,ud23,drop,18,SCONJ:mark,2264,False,PROVISIONAL
grc,ud23,drop,19,PRON:obl,2184,False,PROVISIONAL
grc,ud23,drop,20,ADJ:xcomp,1967,False,PROVISIONAL
grc,ud23,drop,21,AUX:cop,1863,False,PROVISIONAL
grc,ud23,drop,22,ADJ:obj,1810,False,PROVISIONAL
grc,ud23,drop,23,ADJ:advmod,1634,False,PROVISIONAL
grc,ud23,drop,24,PRON:nmod,1626,False,PROVISIONAL
grc,ud23,drop,25,VERB:acl,1390,False,PROVISIONAL
grc,ud23,drop,26,VERB:ccomp,1384,False,PROVISIONAL
grc,ud23,drop,27,VERB:nmod,1375,False,PROVISIONAL
grc,ud23,drop,28,ADJ:amod,1212,False,PROVISIONAL
grc,ud23,drop,29,ADJ:nsubj,1040,False,PROVISIONAL
grc,ud23,drop,30,CCONJ:advmod,919,False,PROVISIONAL
grc,ud23,drop,31,ADJ:obl,745,False,PROVISIONAL
