language,regime,upos_raw,deprel_raw,upos,deprel_base,n,status
grc,HEX,ADJ,advcl,ADJ,advcl,70,PROVISIONAL
grc,HEX,ADJ,advmod,ADJ,advmod,805,PROVISIONAL
grc,HEX,ADJ,amod,ADJ,amod,516,PROVISIONAL
grc,HEX,ADJ,appos,ADJ,appos,10,PROVISIONAL
grc,HEX,ADJ,conj,ADJ,conj,249,PROVISIONAL
grc,HEX,ADJ,iobj,ADJ,iobj,59,PROVISIONAL
grc,HEX,ADJ,nmod,ADJ,nmod,6841,PROVISIONAL
grc,HEX,ADJ,nsubj,ADJ,nsubj,441,PROVISIONAL
grc,HEX,ADJ,obj,ADJ,obj,664,PROVISIONAL
grc,HEX,ADJ,obl,ADJ,obl,299,PROVISIONAL
grc,HEX,ADJ,root,ADJ,root,132,PROVISIONAL
grc,HEX,ADJ,vocative,ADJ,vocative,88,PROVISIONAL
grc,HEX,ADJ,xcomp,ADJ,xcomp,983,PROVISIONAL
grc,HEX,ADP,case,ADP,case,4441,PROVISIONAL
grc,HEX,ADP,mark,ADP,mark,3,PROVISIONAL
grc,HEX,ADP,obj,ADP,obj,2,PROVISIONAL
grc,HEX,ADV,acl,ADV,acl,2,PROVISIONAL
grc,HEX,ADV,advcl,ADV,advcl,2,PROVISIONAL
grc,HEX,ADV,advmod,ADV,advmod,6623,PROVISIONAL
grc,HEX,ADV,case,ADV,case,27,PROVISIONAL
grc,HEX,ADV,cc,ADV,cc,22,PROVISIONAL
grc,HEX,ADV,conj,ADV,conj,31,PROVISIONAL
grc,HEX,ADV,mark,ADV,mark,15,PROVISIONAL
grc,HEX,ADV,nmod,ADV,nmod,27,PROVISIONAL
grc,HEX,ADV,obj,ADV,obj,291,PROVISIONAL
grc,HEX,ADV,obl,ADV,obl,9,PROVISIONAL
grc,HEX,ADV,root,ADV,root,6,PROVISIONAL
grc,HEX,ADV,xcomp,ADV,xcomp,4,PROVISIONAL
grc,HEX,AUX,cop,AUX,cop,569,PROVISIONAL
grc,HEX,CCONJ,advmod,CCONJ,advmod,437,PROVISIONAL
grc,HEX,CCONJ,cc,CCONJ,cc,1815,PROVISIONAL
grc,HEX,CCONJ,mark,CCONJ,mark,269,PROVISIONAL
grc,HEX,DET,advmod,DET,advmod,1,PROVISIONAL
grc,HEX,DET,det,DET,det,379,PROVISIONAL
grc,HEX,INTJ,discourse,INTJ,discourse,108,PROVISIONAL
grc,HEX,INTJ,vocative,INTJ,vocative,11,PROVISIONAL
grc,HEX,NOUN,acl,NOUN,acl,24,PROVISIONAL
grc,HEX,NOUN,advcl,NOUN,advcl,24,PROVISIONAL
grc,HEX,NOUN,appos,NOUN,appos,134,PROVISIONAL
grc,HEX,NOUN,case,NOUN,case,1,PROVISIONAL
grc,HEX,NOUN,conj,NOUN,conj,1504,PROVISIONAL
grc,HEX,NOUN,iobj,NOUN,iobj,369,PROVISIONAL
