level,unit,deprel_base,count,raw,share_of_raw,flagged
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,vocative,7,10396,0.0006733358984224702,False
document,tlg0007.tlg004.perseus-grc1.tb.xml,vocative,5,5044,0.0009912767644726407,False
document,tlg0007.tlg015.perseus-grc1.tb.xml,vocative,4,4943,0.0008092251669026907,False
document,tlg0008.tlg001.perseus-grc1.tb.xml,orphan,2,26245,7.620499142693846e-05,False
document,tlg0008.tlg001.perseus-grc1.tb.xml,vocative,96,26245,0.0036578395884930464,False
document,tlg0011.tlg001.perseus-grc2.tb.xml,vocative,78,5229,0.01491681009753299,False
document,tlg0011.tlg002.perseus-grc2.tb.xml,vocative,45,4299,0.0104675505931612,False
document,tlg0011.tlg003.perseus-grc1.tb.xml,vocative,64,5319,0.012032336905433353,False
document,tlg0011.tlg004.perseus-grc1.tb.xml,vocative,77,5600,0.01375,False
document,tlg0011.tlg005.perseus-grc2.tb.xml,vocative,75,5239,0.014315709104790991,False
document,tlg0012.tlg001.perseus-grc1.tb.xml,vocative,443,79890,0.005545124546251095,False
document,tlg0013.tlg002.perseus-grc1.tb.xml,vocative,16,2061,0.0077632217370208634,False
document,tlg0016.tlg001.perseus-grc1.1.tb.xml,vocative,48,19575,0.0024521072796934865,False
document,tlg0020.tlg001.perseus-grc1.tb.xml,vocative,11,4610,0.002386117136659436,False
document,tlg0020.tlg002.perseus-grc1.tb.xml,vocative,8,3725,0.002147651006711409,False
document,tlg0020.tlg003.perseus-grc1.tb.xml,vocative,7,2403,0.002913025384935497,False
document,tlg0085.tlg001.perseus-grc2.tb.xml,vocative,9,1529,0.005886200130804447,False
block,ATHENAEUS,orphan,2,26245,7.620499142693846e-05,False
block,ATHENAEUS,vocative,96,26245,0.0036578395884930464,False
block,HERODOTUS,vocative,48,19575,0.0024521072796934865,False
block,HESIODIC_TRADITION,vocative,26,10738,0.002421307506053269,False
block,HOMERIC_TRADITION,vocative,459,81951,0.005600907859574624,False
block,PLUTARCH,vocative,9,9987,0.0009011715229798738,False
block,THUCYDIDES,vocative,7,10396,0.0006733358984224702,False
regime,HEX,vocative,485,92689,0.005232551866996084,False
regime,OTHER_VERSE,vocative,348,27215,0.012787065956274114,False
regime,PROSE_CLASS,vocative,55,29971,0.0018351072703613493,False
regime,PROSE_POST,orphan,2,53114,3.76548555936288e-05,False
regime,PROSE_POST,vocative,105,53114,0.001976879918665512,False
