level,unit,upos_raw,deprel_raw,count
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,advcl,19
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,advmod,133
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,amod,67
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,appos,4
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,conj,62
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,iobj,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,nmod,325
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,nsubj,62
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,obj,87
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,obl,72
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,root,21
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,xcomp,88
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADP,case,683
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADP,nmod,3
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADP,obj,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,advmod,1440
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,cc,2
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,conj,6
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,nmod,24
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,nsubj,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,obj,2
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,obl,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,root,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,xcomp,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,AUX,cop,135
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,CCONJ,advmod,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,CCONJ,cc,468
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,CCONJ,mark,31
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,DET,advmod,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,DET,det,1198
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,INTJ,discourse,8
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,acl,10
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,advcl,6
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,appos,6
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,conj,154
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,iobj,19
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,nmod,354
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,nsubj,352
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,obj,415
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,obl,467
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,root,15
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,vocative,7
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,xcomp,38
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,advcl,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,appos,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,conj,9
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,iobj,25
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,nmod,96
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,nsubj,144
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,obj,208
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,obl,167
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,root,2
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,xcomp,7
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,PUNCT,punct,1035
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,SCONJ,mark,155
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,acl,88
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,advcl,499
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,appos,4
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,ccomp,76
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,conj,275
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,csubj,48
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,nmod,86
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,nsubj,14
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,obl,13
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,parataxis,1
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,root,493
document,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,xcomp,158
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,advcl,7
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,advmod,32
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,amod,47
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,conj,55
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,iobj,7
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,nmod,167
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,nsubj,27
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,obj,44
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,obl,21
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,root,20
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,vocative,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,xcomp,42
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADP,case,285
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADV,advmod,604
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADV,cc,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADV,conj,13
document,tlg0007.tlg004.perseus-grc1.tb.xml,ADV,nmod,10
document,tlg0007.tlg004.perseus-grc1.tb.xml,AUX,cop,60
document,tlg0007.tlg004.perseus-grc1.tb.xml,CCONJ,advmod,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,CCONJ,case,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,CCONJ,cc,246
