source_urn,author_label,work,regime,period_label,meter_label,role,dependence_block,flags,variant,doc_id,source_prefixes,parts,group,raw,sentences,kept,eligible,eligibility_scope,retention,eligible_fraction,empty,without_target,max_sentence,length_counts,gate_B_flagged
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1,Thucydides,"Histories, book 1",PROSE_CLASS,classical,prose,primary,THUCYDIDES,"[""partial_work_single_book""]",ud23,tlg0003.tlg001.perseus-grc1.1.tb.xml,"[""tlg0003.tlg001.perseus-grc1.1.tb.xml""]",[0],PROSE_ALL,10396,532,9346,7227,primary_targets,0.8989996152366295,0.7732719880162636,0,9,104,"{""10"": 24, ""104"": 1, ""11"": 30, ""12"": 35, ""13"": 17, ""14"": 27, ""15"": 33, ""16"": 26, ""17"": 28, ""18"": 22, ""19"": 19, ""2"": 3, ""20"": 13, ""21"": 16, ""22"": 23, ""23"": 13, ""24"": 9, ""25"": 8, ""26"": 6, ""27"": 13, ""28"": 6, ""29"": 7, ""3"": 3, ""30"": 8, ""31"": 5, ""32"": 2, ""33"": 6, ""34"": 4, ""35"": 3, ""36"": 4, ""37"": 4, ""38"": 3, ""39"": 1, ""4"": 3, ""40"": 3, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 2, ""47"": 3, ""5"": 21, ""50"": 1, ""51"": 1, ""55"": 1, ""57"": 1, ""6"": 13, ""69"": 1, ""7"": 14, ""8"": 24, ""9"": 18}",False
urn:cts:greekLit:tlg0007.tlg004.perseus-grc1,Plutarch,Lycurgus,PROSE_POST,imperial,prose,primary,PLUTARCH,[],ud23,tlg0007.tlg004.perseus-grc1.tb.xml,"[""tlg0007.tlg004.perseus-grc1.tb.xml""]",[0],PROSE_ALL,5044,248,4481,3493,primary_targets,0.8883822363203806,0.7795135014505691,0,5,50,"{""10"": 10, ""11"": 8, ""12"": 10, ""13"": 12, ""14"": 12, ""15"": 12, ""16"": 13, ""17"": 11, ""18"": 3, ""19"": 8, ""20"": 5, ""21"": 9, ""22"": 6, ""23"": 6, ""24"": 4, ""25"": 12, ""26"": 5, ""27"": 2, ""28"": 3, ""29"": 1, ""3"": 4, ""30"": 5, ""31"": 3, ""32"": 4, ""33"": 4, ""34"": 1, ""35"": 5, ""37"": 1, ""38"": 3, ""4"": 1, ""40"": 1, ""44"": 4, ""45"": 1, ""46"": 1, ""47"": 3, ""49"": 1, ""5"": 4, ""50"": 1, ""6"": 11, ""7"": 13, ""8"": 12, ""9"": 13}",False
urn:cts:greekLit:tlg0007.tlg015.perseus-grc1,Plutarch,Alcibiades,PROSE_POST,imperial,prose,primary,PLUTARCH,[],ud23,tlg0007.tlg015.perseus-grc1.tb.xml,"[""tlg0007.tlg015.perseus-grc1.tb.xml""]",[0],PROSE_ALL,4943,251,4403,3408,primary_targets,0.8907546024681368,0.7740177151941858,0,13,85,"{""1"": 1, ""10"": 8, ""11"": 16, ""12"": 15, ""13"": 5, ""14"": 6, ""15"": 10, ""16"": 18, ""17"": 10, ""18"": 11, ""19"": 8, ""2"": 2, ""20"": 7, ""21"": 8, ""22"": 11, ""23"": 8, ""24"": 4, ""25"": 8, ""26"": 6, ""27"": 7, ""28"": 2, ""29"": 2, ""3"": 2, ""30"": 3, ""31"": 3, ""32"": 5, ""33"": 1, ""34"": 1, ""35"": 2, ""37"": 3, ""38"": 2, ""4"": 8, ""40"": 1, ""42"": 1, ""46"": 1, ""47"": 2, ""49"": 1, ""5"": 5, ""6"": 8, ""7"": 6, ""8"": 8, ""85"": 1, ""9"": 14}",False
urn:cts:greekLit:tlg0008.tlg001.perseus-grc1,Athenaeus,"Deipnosophistae, books 12-13",PROSE_POST,imperial,prose,primary,ATHENAEUS,"[""partial_work_two_books"", ""merged_prefixes""]",ud23,tlg0008.tlg001.perseus-grc1.tb.xml,"[""tlg0008.tlg001.perseus-grc1.12.tb.xml"", ""tlg0008.tlg001.perseus-grc1.13.tb.xml""]","[12, 13]",PROSE_ALL,26245,1630,23133,16691,primary_targets,0.8814250333396837,0.721523364889984,0,95,70,"{""1"": 6, ""10"": 87, ""11"": 107, ""12"": 90, ""13"": 83, ""14"": 69, ""15"": 71, ""16"": 66, ""17"": 64, ""18"": 44, ""19"": 44, ""2"": 15, ""20"": 41, ""21"": 37, ""22"": 37, ""23"": 28, ""24"": 25, ""25"": 18, ""26"": 20, ""27"": 15, ""28"": 15, ""29"": 15, ""3"": 30, ""30"": 12, ""31"": 15, ""32"": 10, ""33"": 9, ""34"": 7, ""35"": 5, ""36"": 5, ""37"": 3, ""38"": 5, ""39"": 6, ""4"": 44, ""40"": 1, ""41"": 2, ""42"": 3, ""43"": 7, ""44"": 3, ""46"": 1, ""47"": 1, ""48"": 1, ""49"": 1, ""5"": 80, ""50"": 1, ""52"": 1, ""56"": 1, ""6"": 83, ""7"": 93, ""70"": 1, ""8"": 99, ""9"": 103}",False
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2,Sophocles,Trachiniae,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23,tlg0011.tlg001.perseus-grc2.tb.xml,"[""tlg0011.tlg001.perseus-grc2.tb.xml""]",[0],OTHER_VERSE,5229,431,4224,2610,potential_census_only,0.8078026391279404,0.6178977272727273,0,91,46,"{""1"": 7, ""10"": 32, ""11"": 23, ""12"": 24, ""13"": 21, ""14"": 17, ""15"": 9, ""16"": 7, ""17"": 7, ""18"": 4, ""19"": 4, ""2"": 29, ""20"": 3, ""21"": 4, ""22"": 3, ""23"": 3, ""24"": 4, ""25"": 2, ""26"": 2, ""27"": 1, ""28"": 4, ""3"": 31, ""30"": 2, ""32"": 3, ""34"": 1, ""35"": 1, ""38"": 1, ""4"": 24, ""42"": 1, ""44"": 1, ""46"": 1, ""5"": 32, ""6"": 38, ""7"": 28, ""8"": 24, ""9"": 33}",False
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2,Sophocles,Antigone,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23,tlg0011.tlg002.perseus-grc2.tb.xml,"[""tlg0011.tlg002.perseus-grc2.tb.xml""]",[0],OTHER_VERSE,4299,391,3573,2076,potential_census_only,0.8311235170969993,0.581024349286314,0,68,35,"{""1"": 9, ""10"": 21, ""11"": 14, ""12"": 19, ""13"": 17, ""14"": 8, ""15"": 9, ""16"": 5, ""17"": 10, ""18"": 6, ""19"": 4, ""2"": 13, ""20"": 4, ""21"": 4, ""22"": 5, ""23"": 6, ""24"": 2, ""25"": 3, ""26"": 1, ""28"": 1, ""29"": 1, ""3"": 14, ""35"": 1, ""4"": 32, ""5"": 38, ""6"": 54, ""7"": 33, ""8"": 37, ""9"": 20}",False
urn:cts:greekLit:tlg0011.tlg003.perseus-grc1,Sophocles,Ajax,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23,tlg0011.tlg003.perseus-grc1.tb.xml,"[""tlg0011.tlg003.perseus-grc1.tb.xml""]",[0],OTHER_VERSE,5319,490,4364,2503,potential_census_only,0.8204549727392367,0.5735563703024747,0,91,33,"{""1"": 6, ""10"": 27, ""11"": 28, ""12"": 29, ""13"": 28, ""14"": 10, ""15"": 5, ""16"": 9, ""17"": 6, ""18"": 6, ""19"": 6, ""2"": 25, ""20"": 1, ""21"": 5, ""22"": 3, ""23"": 2, ""24"": 3, ""25"": 4, ""26"": 2, ""27"": 1, ""28"": 1, ""3"": 31, ""30"": 2, ""31"": 1, ""33"": 2, ""4"": 29, ""5"": 48, ""6"": 59, ""7"": 57, ""8"": 26, ""9"": 28}",False
urn:cts:greekLit:tlg0011.tlg004.perseus-grc1,Sophocles,Oedipus Tyrannus,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23,tlg0011.tlg004.perseus-grc1.tb.xml,"[""tlg0011.tlg004.perseus-grc1.tb.xml""]",[0],OTHER_VERSE,5600,520,4571,2610,potential_census_only,0.81625,0.5709910304091008,0,106,39,"{""1"": 14, ""10"": 20, ""11"": 19, ""12"": 21, ""13"": 27, ""14"": 22, ""15"": 20, ""16"": 3, ""17"": 10, ""18"": 6, ""19"": 2, ""2"": 22, ""20"": 5, ""21"": 1, ""22"": 7, ""23"": 3, ""24"": 1, ""25"": 3, ""26"": 2, ""28"": 1, ""3"": 33, ""30"": 3, ""37"": 1, ""39"": 1, ""4"": 37, ""5"": 57, ""6"": 53, ""7"": 54, ""8"": 36, ""9"": 36}",False
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2,Sophocles,Electra,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23,tlg0011.tlg005.perseus-grc2.tb.xml,"[""tlg0011.tlg005.perseus-grc2.tb.xml""]",[0],OTHER_VERSE,5239,528,4259,2331,potential_census_only,0.8129414010307311,0.5473115754872035,0,149,42,"{""1"": 23, ""10"": 17, ""11"": 23, ""12"": 22, ""13"": 20, ""14"": 15, ""15"": 14, ""16"": 9, ""17"": 8, ""18"": 6, ""19"": 4, ""2"": 38, ""20"": 2, ""21"": 3, ""22"": 2, ""23"": 1, ""24"": 2, ""25"": 2, ""26"": 1, ""27"": 3, ""3"": 39, ""32"": 1, ""4"": 49, ""41"": 1, ""42"": 1, ""5"": 47, ""6"": 48, ""7"": 49, ""8"": 42, ""9"": 36}",False
urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,Homer,Iliad,HEX,archaic,hexameter,primary,HOMERIC_TRADITION,[],ud23,tlg0012.tlg001.perseus-grc1.tb.xml,"[""tlg0012.tlg001.perseus-grc1.tb.xml""]",[0],HEX,79890,6003,69327,45515,primary_targets,0.8677806984603831,0.656526317307831,0,334,58,"{""1"": 15, ""10"": 289, ""11"": 316, ""12"": 323, ""13"": 349, ""14"": 325, ""15"": 287, ""16"": 183, ""17"": 148, ""18"": 115, ""19"": 121, ""2"": 33, ""20"": 96, ""21"": 97, ""22"": 84, ""23"": 74, ""24"": 38, ""25"": 36, ""26"": 39, ""27"": 22, ""28"": 29, ""29"": 35, ""3"": 89, ""30"": 18, ""31"": 20, ""32"": 12, ""33"": 10, ""34"": 8, ""35"": 11, ""36"": 10, ""37"": 4, ""38"": 6, ""39"": 4, ""4"": 197, ""40"": 2, ""41"": 4, ""43"": 2, ""45"": 1, ""46"": 1, ""48"": 2, ""49"": 2, ""5"": 361, ""50"": 1, ""58"": 1, ""6"": 563, ""7"": 684, ""8"": 551, ""9"": 385}",False
