cell,variant,held_block,held_block_key,seed,doc_id,arm,past_band,implicit_unseen_branch_encounter_count,n,resolved_null_count_by_reason_no_resolved_mass,resolved_valid_count,root_unseen_target_count,sum_observed_mass_by_length_0,sum_observed_mass_by_length_1,sum_observed_mass_by_length_2,sum_observed_mass_by_length_3,sum_observed_mass_by_length_4,sum_observed_mass_by_length_5,sum_observed_mass_by_length_6,sum_observed_mass_by_length_7,sum_observed_mass_by_length_8,sum_resolved_valid,sum_unseen_mass,resolved_mean,unseen_mass_mean,reason,sum_observed_mass_by_length_10,sum_observed_mass_by_length_11,sum_observed_mass_by_length_12,sum_observed_mass_by_length_9
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,0,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1575,1989,0,1989,0,0.0,1681.9962164642777,305.29808137754424,0.34346517179747765,0.023189646368402254,1.0441724317667274e-07,7.866129864051305e-19,3.070782404522208e-23,0.0,2296.4412600378614,1.339047235594908,1.1545707692498046,0.0006732263627928144,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,0,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5226,5238,2,5236,3,0.0,4516.3530843425915,710.7980309381824,0.9058266973552079,0.15535611270435573,0.008447449235789786,8.336373573197294e-14,7.997555821919006e-20,4.249720073743058e-153,5951.5692523186835,9.77925445993085,1.1366633407789692,0.0018669825238508688,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,0,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1958,1989,0,1989,1,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,0,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,1,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,1,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1580,1989,0,1989,0,0.0,1681.9344326986322,304.42712466864504,0.27675932342557086,0.004914610373789188,7.492654478441582e-06,7.87205333519465e-06,5.20757616945784e-310,0.0,2296.40721704367,2.356753334215602,1.154553653616727,0.0011848935818077437,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,1,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5228,5238,2,5236,3,0.0,4515.5641099173,711.4174340257975,0.7635807145710699,0.16371346944343712,0.006511359399037618,0.00034640955020146506,1.721077993746776e-21,7.230730956772537e-165,5953.095335371018,10.084304103938516,1.1369548004910273,0.0019252203329397702,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,1,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1958,1989,0,1989,0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,1,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,3,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,2,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1574,1989,0,1989,0,0.0,1681.9918336608582,304.02550447322204,0.5141157909251369,0.20815685009671797,0.0006742321544816438,1.7138724141735663e-16,2.622632881812296e-90,0.0,2295.990451023268,2.259714992743477,1.1543441181615224,0.0011361060798106973,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,2,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5227,5238,2,5236,3,0.0,4515.442205226386,710.118465741291,1.7149544782618855,0.14240985304098222,0.0013834294925199576,1.5451882670994636e-05,3.2575997785830003e-54,5.917039226485594e-159,5953.293446138809,10.580565819644578,1.1369926367721177,0.0020199629285308474,,,,,
