cell,variant,held_block,held_block_key,seed,doc_id,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,0,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8400.498518496157,9242.36468642842,9149.506856590688,9149.506856590688,1754,1989,4.223478390395252,4.646739409969039,0.42326101957378715,4.600053723776113,4.600053723776113,0.0,0.42326101957378715,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,0,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22859.73524426242,25097.410263021375,24291.665322824192,24291.665322824192,4725,5238,4.364210623188702,4.791410894047608,0.427200270858906,4.637584063158494,4.637584063158494,0.0,0.427200270858906,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,1,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8393.629171359493,9250.328674473392,9147.7814854163,9147.7814854163,1738,1989,4.220024721648815,4.650743426080137,0.4307187044313219,4.599186267177627,4.599186267177627,0.0,0.4307187044313219,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,1,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22883.628456346618,25108.53237749656,24248.14502918926,24248.14502918926,4737,5238,4.3687721375232185,4.793534245417441,0.42476210789422275,4.62927549239963,4.62927549239963,0.0,0.42476210789422275,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,2,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8381.716392942737,9240.499662541124,9116.870421100415,9116.870421100415,1766,1989,4.214035391122542,4.645801740845211,0.43176634972266825,4.583645259477333,4.583645259477333,0.0,0.43176634972266825,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,2,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22863.727554957677,25105.11595886757,24275.023921996974,24275.023921996974,4723,5238,4.36497280545202,4.792882008183957,0.42790920273193755,4.634407010690525,4.634407010690525,0.0,0.42790920273193755,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,3,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8383.42734977984,9247.521497341426,9128.356138030402,9128.356138030402,1769,1989,4.214895600693736,4.649332075083673,0.43443647438993693,4.589419878346105,4.589419878346105,0.0,0.43443647438993693,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,3,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22854.85939254124,25098.95806080405,24253.22918157502,24253.229181575025,4778,5238,4.363279761844452,4.791706388087829,0.42842662624337713,4.63024612095743,4.630246120957431,8.881784197001252e-16,0.42842662624337624,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,4,tlg0003.tlg001.perseus-grc1.1.tb.xml,4_7,1989,8374.317449526405,9244.901774852158,9116.399558891928,9116.399558891928,1773,1989,4.210315459792059,4.648014969759758,0.4376995099676986,4.583408526340839,4.583408526340839,0.0,0.4376995099676986,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,4,tlg0003.tlg001.perseus-grc1.1.tb.xml,ge8,5238,22888.924439552495,25114.115225128764,24231.22700026357,24231.22700026357,4727,5238,4.369783207245608,4.794600081162422,0.42481687391681344,4.626045628152648,4.626045628152648,0.0,0.42481687391681344,
