variant,scope,a,b,symbol_id,symbol,contribution
ud23,block_pair,ATHENAEUS,DIODORUS,0,ADJ:advcl,0.00010752690843537146
ud23,block_pair,ATHENAEUS,DIODORUS,1,ADJ:advmod,3.3535081683858093e-06
ud23,block_pair,ATHENAEUS,DIODORUS,2,ADJ:amod,2.154794841825977e-06
ud23,block_pair,ATHENAEUS,DIODORUS,3,ADJ:appos,3.879414748114248e-06
ud23,block_pair,ATHENAEUS,DIODORUS,4,ADJ:conj,0.00019375133648047687
ud23,block_pair,ATHENAEUS,DIODORUS,5,ADJ:iobj,3.918110477334941e-06
ud23,block_pair,ATHENAEUS,DIODORUS,6,ADJ:nmod,3.6511301252469723e-06
ud23,block_pair,ATHENAEUS,DIODORUS,7,ADJ:nsubj,2.7317894922000826e-05
ud23,block_pair,ATHENAEUS,DIODORUS,8,ADJ:obj,7.047859846906067e-09
ud23,block_pair,ATHENAEUS,DIODORUS,9,ADJ:obl,6.869450189621047e-05
ud23,block_pair,ATHENAEUS,DIODORUS,10,ADJ:parataxis,3.879414748114248e-06
ud23,block_pair,ATHENAEUS,DIODORUS,11,ADJ:root,0.0005643400195512455
ud23,block_pair,ATHENAEUS,DIODORUS,12,ADJ:xcomp,8.318380409514325e-07
ud23,block_pair,ATHENAEUS,DIODORUS,13,ADP:advcl,8.222457295567168e-07
ud23,block_pair,ATHENAEUS,DIODORUS,14,ADP:case,0.00022925838620487925
ud23,block_pair,ATHENAEUS,DIODORUS,15,ADP:cc,8.222457295567168e-07
ud23,block_pair,ATHENAEUS,DIODORUS,16,ADP:conj,8.222457295567168e-07
ud23,block_pair,ATHENAEUS,DIODORUS,17,ADP:mark,3.1682079191579305e-05
ud23,block_pair,ATHENAEUS,DIODORUS,18,ADP:nmod,3.879414748114248e-06
ud23,block_pair,ATHENAEUS,DIODORUS,19,ADP:nsubj,8.222457295567168e-07
ud23,block_pair,ATHENAEUS,DIODORUS,20,ADP:obj,3.879414748114248e-06
ud23,block_pair,ATHENAEUS,DIODORUS,21,ADP:root,8.222457295567168e-07
ud23,block_pair,ATHENAEUS,DIODORUS,22,ADV_PART:acl,8.222457295567168e-07
ud23,block_pair,ATHENAEUS,DIODORUS,23,ADV_PART:advcl,2.9817804298068182e-05
ud23,block_pair,ATHENAEUS,DIODORUS,24,ADV_PART:advmod,0.0010085059945509744
ud23,block_pair,ATHENAEUS,DIODORUS,25,ADV_PART:case,1.530294869242018e-05
ud23,block_pair,ATHENAEUS,DIODORUS,26,ADV_PART:cc,9.63668322047986e-07
ud23,block_pair,ATHENAEUS,DIODORUS,27,ADV_PART:conj,1.1291831908888325e-05
ud23,block_pair,ATHENAEUS,DIODORUS,28,ADV_PART:mark,8.222457295567168e-07
ud23,block_pair,ATHENAEUS,DIODORUS,29,ADV_PART:nmod,0.00015998139284976163
ud23,block_pair,ATHENAEUS,DIODORUS,30,ADV_PART:nsubj,8.222457295567168e-07
ud23,block_pair,ATHENAEUS,DIODORUS,31,ADV_PART:obj,0.00011812204385274106
ud23,block_pair,ATHENAEUS,DIODORUS,32,ADV_PART:obl,1.530294869242018e-05
ud23,block_pair,ATHENAEUS,DIODORUS,33,ADV_PART:root,2.9817804298068182e-05
ud23,block_pair,ATHENAEUS,DIODORUS,34,ADV_PART:xcomp,4.1072149879387265e-06
ud23,block_pair,ATHENAEUS,DIODORUS,35,AUX:aux,8.222457295567168e-07
ud23,block_pair,ATHENAEUS,DIODORUS,36,AUX:conj,3.879414748114248e-06
ud23,block_pair,ATHENAEUS,DIODORUS,37,AUX:cop,0.0015622528058570262
ud23,block_pair,ATHENAEUS,DIODORUS,38,CCONJ:advmod,1.1638244244342747e-05
ud23,block_pair,ATHENAEUS,DIODORUS,39,CCONJ:case,4.436663370972442e-05
ud23,block_pair,ATHENAEUS,DIODORUS,40,CCONJ:cc,0.0004901507960997143
ud23,block_pair,ATHENAEUS,DIODORUS,41,CCONJ:conj,3.879414748114248e-06
ud23,block_pair,ATHENAEUS,DIODORUS,42,CCONJ:mark,5.645915954444173e-05
ud23,block_pair,ATHENAEUS,DIODORUS,43,CCONJ:nmod,1.905408123918781e-05
ud23,block_pair,ATHENAEUS,DIODORUS,44,CCONJ:obj,3.879414748114248e-06
ud23,block_pair,ATHENAEUS,DIODORUS,45,CCONJ:obl,3.879414748114248e-06
ud23,block_pair,ATHENAEUS,DIODORUS,46,DET:advmod,2.4667371886701507e-06
ud23,block_pair,ATHENAEUS,DIODORUS,47,DET:det,0.003603176244316754
ud23,block_pair,ATHENAEUS,DIODORUS,48,DET:root,3.879414748114248e-06
