variant,block_a,block_b,jsd
ud23,ATHENAEUS,DIODORUS,0.020418802514982834
ud23,ATHENAEUS,HERODOTUS,0.008898421226293184
ud23,ATHENAEUS,HESIODIC_TRADITION,0.12210264964691461
ud23,ATHENAEUS,HOMERIC_TRADITION,0.10946470177663106
ud23,ATHENAEUS,PLUTARCH,0.012498669003709002
ud23,ATHENAEUS,THUCYDIDES,0.011728465227159365
ud23,DIODORUS,HERODOTUS,0.03183049154215359
ud23,DIODORUS,HESIODIC_TRADITION,0.1593833882501029
ud23,DIODORUS,HOMERIC_TRADITION,0.1481528689602857
ud23,DIODORUS,PLUTARCH,0.01967956509814886
ud23,DIODORUS,THUCYDIDES,0.026260576774318936
ud23,HERODOTUS,HESIODIC_TRADITION,0.12901767254182175
ud23,HERODOTUS,HOMERIC_TRADITION,0.10570637762714806
ud23,HERODOTUS,PLUTARCH,0.012126701171276372
ud23,HERODOTUS,THUCYDIDES,0.010294733163671537
ud23,HESIODIC_TRADITION,HOMERIC_TRADITION,0.019219117902907788
ud23,HESIODIC_TRADITION,PLUTARCH,0.14310474129039003
ud23,HESIODIC_TRADITION,THUCYDIDES,0.13358998001219932
ud23,HOMERIC_TRADITION,PLUTARCH,0.12690500764447965
ud23,HOMERIC_TRADITION,THUCYDIDES,0.11330746721599784
ud23,PLUTARCH,THUCYDIDES,0.009703862618596114
ud23_oth,ATHENAEUS,DIODORUS,0.022237335820649063
ud23_oth,ATHENAEUS,HERODOTUS,0.009087002090192246
ud23_oth,ATHENAEUS,HESIODIC_TRADITION,0.1219551549234278
ud23_oth,ATHENAEUS,HOMERIC_TRADITION,0.10912505817794947
ud23_oth,ATHENAEUS,PLUTARCH,0.013178085985304573
ud23_oth,ATHENAEUS,THUCYDIDES,0.012545771062023672
ud23_oth,DIODORUS,HERODOTUS,0.033030423311348485
ud23_oth,DIODORUS,HESIODIC_TRADITION,0.1603679500723552
ud23_oth,DIODORUS,HOMERIC_TRADITION,0.15055627151483908
ud23_oth,DIODORUS,PLUTARCH,0.020077803906413533
ud23_oth,DIODORUS,THUCYDIDES,0.026568966704745012
ud23_oth,HERODOTUS,HESIODIC_TRADITION,0.1290260107713046
ud23_oth,HERODOTUS,HOMERIC_TRADITION,0.10587511465503864
ud23_oth,HERODOTUS,PLUTARCH,0.012490606887820457
ud23_oth,HERODOTUS,THUCYDIDES,0.010672136798554888
ud23_oth,HESIODIC_TRADITION,HOMERIC_TRADITION,0.01972687839987596
ud23_oth,HESIODIC_TRADITION,PLUTARCH,0.14320052053142004
ud23_oth,HESIODIC_TRADITION,THUCYDIDES,0.13385953660518218
ud23_oth,HOMERIC_TRADITION,PLUTARCH,0.12793123052923033
ud23_oth,HOMERIC_TRADITION,THUCYDIDES,0.1146012816772282
ud23_oth,PLUTARCH,THUCYDIDES,0.00973819549735404
upos_only,ATHENAEUS,DIODORUS,0.011264335091153698
upos_only,ATHENAEUS,HERODOTUS,0.0047675949567592005
upos_only,ATHENAEUS,HESIODIC_TRADITION,0.07113119015139108
upos_only,ATHENAEUS,HOMERIC_TRADITION,0.06884534359482217
upos_only,ATHENAEUS,PLUTARCH,0.004464590323655557
upos_only,ATHENAEUS,THUCYDIDES,0.004326018435598554
upos_only,DIODORUS,HERODOTUS,0.02265722878434217
upos_only,DIODORUS,HESIODIC_TRADITION,0.10590409198596415
upos_only,DIODORUS,HOMERIC_TRADITION,0.10965862759720443
upos_only,DIODORUS,PLUTARCH,0.011242646193467553
upos_only,DIODORUS,THUCYDIDES,0.017227579337535805
upos_only,HERODOTUS,HESIODIC_TRADITION,0.07372142110186969
upos_only,HERODOTUS,HOMERIC_TRADITION,0.06517915268939273
upos_only,HERODOTUS,PLUTARCH,0.0047218898493656195
upos_only,HERODOTUS,THUCYDIDES,0.0035072823859666684
upos_only,HESIODIC_TRADITION,HOMERIC_TRADITION,0.006040937286153971
upos_only,HESIODIC_TRADITION,PLUTARCH,0.07980299187855995
upos_only,HESIODIC_TRADITION,THUCYDIDES,0.07318237081776607
upos_only,HOMERIC_TRADITION,PLUTARCH,0.0757581733211199
upos_only,HOMERIC_TRADITION,THUCYDIDES,0.06572771259140134
upos_only,PLUTARCH,THUCYDIDES,0.0038727449759177347
