cell,variant,held_block,held_block_key,seed,arm,depth,m,a_per_symbol,q,ledger_sha256,evaluation_changed_symbol_slot_count,evaluation_total_slot_count,training_changed_symbol_slot_count,training_total_slot_count,delta_root_nats_stop_minus_split,delta_root_reason,fingerprint,log_evidence,nodes,root_observed_symbol_count,root_stop,root_unseen_symbol_count,training_streams,training_tokens,node_count_by_structural_depth,support_histogram_1_2to4_5to9_10plus_by_depth,fit_seconds,evaluation_seconds,peak_rss
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,0,original,8,100,0.5,8884,45c29821b12f0d64a6848c81cfc04759559c9a2b283646ba28863ca313085051,8306,9346,46723,53304,-10474.248757436086,,77eced4fb6ab8c66dd694026f4dc6950630c16fd3050e8ab16ba70ee63a2a997,-159212.3559582883,167316,83,0.0,17,3572,53304,"[1,83,1819,11399,25591,33252,34020,31931,29220]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":9,""10plus"":55,""2to4"":8,""5to9"":11},{""1"":464,""10plus"":639,""2to4"":467,""5to9"":249},{""1"":6290,""10plus"":892,""2to4"":3194,""5to9"":1023},{""1"":19797,""10plus"":343,""2to4"":4651,""5to9"":800},{""1"":30137,""10plus"":55,""2to4"":2799,""5to9"":261},{""1"":32876,""10plus"":4,""2to4"":1090,""5to9"":50},{""1"":31556,""10plus"":2,""2to4"":363,""5to9"":10},{""1"":29070,""10plus"":2,""2to4"":146,""5to9"":2}]",0.5550078329997632,0.2875990768225165,1277710336
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,0,shuffled,8,100,0.5,8884,45c29821b12f0d64a6848c81cfc04759559c9a2b283646ba28863ca313085051,8306,9346,46723,53304,4413.447330939729,,6dd7351377748aea81137a255f2e13a0f390a2ee857fd8ec47b2661d5b6136d6,-169686.6047157244,188599,83,1.0,17,3572,53304,"[1,84,2101,15615,34782,38402,35687,32475,29452]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":12,""10plus"":55,""2to4"":6,""5to9"":11},{""1"":548,""10plus"":720,""2to4"":540,""5to9"":293},{""1"":8893,""10plus"":951,""2to4"":4439,""5to9"":1332},{""1"":29718,""10plus"":13,""2to4"":4797,""5to9"":254},{""1"":37716,""10plus"":0,""2to4"":685,""5to9"":1},{""1"":35642,""10plus"":0,""2to4"":45,""5to9"":0},{""1"":32473,""10plus"":0,""2to4"":2,""5to9"":0},{""1"":29452,""10plus"":0,""2to4"":0,""5to9"":0}]",0.9992787080009293,0.2873682998979348,1277710336
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,1,original,8,100,0.5,8884,741e5c6e3848b67e91f8dee927d8ed9a4efe1738650f9889ab117bcd317847be,8305,9346,46838,53304,-10462.802238201955,,03ebab7dd5597b5ec88130530f4a93f30eaf7bf0fc592c88c56e0063ae141ffb,-159118.30751358686,167203,78,0.0,22,3581,53304,"[1,79,1844,11418,25631,33267,33953,31876,29134]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":6,""10plus"":54,""2to4"":7,""5to9"":12},{""1"":503,""10plus"":630,""2to4"":454,""5to9"":257},{""1"":6331,""10plus"":894,""2to4"":3194,""5to9"":999},{""1"":19923,""10plus"":329,""2to4"":4575,""5to9"":804},{""1"":30158,""10plus"":61,""2to4"":2809,""5to9"":239},{""1"":32801,""10plus"":5,""2to4"":1094,""5to9"":53},{""1"":31494,""10plus"":2,""2to4"":368,""5to9"":12},{""1"":28966,""10plus"":2,""2to4"":161,""5to9"":5}]",0.5858419169999252,0.2643190578892245,1465311232
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,1,shuffled,8,100,0.5,8884,741e5c6e3848b67e91f8dee927d8ed9a4efe1738650f9889ab117bcd317847be,8305,9346,46838,53304,4477.01942205691,,77a485ba813b59bc5a7ee513858c98f00c1adae118b19e531ca3459e79a62fad,-169581.1097517888,188495,78,1.0,22,3581,53304,"[1,79,2093,15589,34781,38415,35660,32455,29422]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":6,""10plus"":56,""2to4"":7,""5to9"":10},{""1"":539,""10plus"":728,""2to4"":531,""5to9"":295},{""1"":8952,""10plus"":963,""2to4"":4365,""5to9"":1309},{""1"":29734,""10plus"":12,""2to4"":4774,""5to9"":261},{""1"":37775,""10plus"":0,""2to4"":638,""5to9"":2},{""1"":35620,""10plus"":0,""2to4"":39,""5to9"":1},{""1"":32450,""10plus"":0,""2to4"":5,""5to9"":0},{""1"":29421,""10plus"":0,""2to4"":1,""5to9"":0}]",0.9872839579984429,0.263264949870063,1465311232
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,2,original,8,100,0.5,8884,cb3239f22ee85d443faa0ca1b33cab0dd805b3de15c6de28f361d64d1739afd4,8349,9346,46847,53304,-10584.820986930572,,a43336386557d19e6654708eeccdd81dc20ea5f691b4a622550bce49c1cad32f,-159002.0072346813,167404,85,0.0,15,3579,53304,"[1,84,1821,11416,25658,33325,34025,31910,29164]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":12,""10plus"":56,""2to4"":8,""5to9"":8},{""1"":480,""10plus"":636,""2to4"":448,""5to9"":257},{""1"":6230,""10plus"":886,""2to4"":3261,""5to9"":1039},{""1"":19890,""10plus"":335,""2to4"":4626,""5to9"":807},{""1"":30246,""10plus"":65,""2to4"":2786,""5to9"":228},{""1"":32904,""10plus"":5,""2to4"":1071,""5to9"":45},{""1"":31543,""10plus"":2,""2to4"":358,""5to9"":7},{""1"":29035,""10plus"":2,""2to4"":125,""5to9"":2}]",0.5903378750008414,0.27160269993692054,1465311232
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,2,shuffled,8,100,0.5,8884,cb3239f22ee85d443faa0ca1b33cab0dd805b3de15c6de28f361d64d1739afd4,8349,9346,46847,53304,4304.918000407051,,8cb8fd4bf12d6f15198102f4610e01efd570ef0547c41a96b2ed52925de1de52,-169586.82822161188,188252,85,1.0,15,3579,53304,"[1,86,2086,15458,34734,38427,35656,32426,29378]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":14,""10plus"":57,""2to4"":7,""5to9"":8},{""1"":549,""10plus"":715,""2to4"":524,""5to9"":298},{""1"":8723,""10plus"":924,""2to4"":4465,""5to9"":1346},{""1"":29676,""10plus"":16,""2to4"":4771,""5to9"":271},{""1"":37786,""10plus"":0,""2to4"":639,""5to9"":2},{""1"":35616,""10plus"":0,""2to4"":40,""5to9"":0},{""1"":32424,""10plus"":0,""2to4"":2,""5to9"":0},{""1"":29378,""10plus"":0,""2to4"":0,""5to9"":0}]",1.0018684169990593,0.2717138451007486,1465311232
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,3,original,8,100,0.5,8884,66f64480f0ed356a61be53f3835489fe7124afca90570dc8bdae4a4b67a33b38,8357,9346,46947,53304,-10535.30026696669,,d29cb38404d0c5fad6528532557e8bb149c0cb14cd68a526b5acdd28ca32f4d2,-159041.91275462302,167309,85,0.0,15,3583,53304,"[1,85,1846,11371,25756,33335,33995,31833,29087]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":12,""10plus"":57,""2to4"":7,""5to9"":9},{""1"":512,""10plus"":626,""2to4"":447,""5to9"":261},{""1"":6205,""10plus"":893,""2to4"":3255,""5to9"":1018},{""1"":20052,""10plus"":325,""2to4"":4544,""5to9"":835},{""1"":30284,""10plus"":61,""2to4"":2741,""5to9"":249},{""1"":32910,""10plus"":5,""2to4"":1033,""5to9"":47},{""1"":31468,""10plus"":2,""2to4"":356,""5to9"":7},{""1"":28953,""10plus"":2,""2to4"":130,""5to9"":2}]",0.5714881249987229,0.272252866972849,1465311232
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,3,shuffled,8,100,0.5,8884,66f64480f0ed356a61be53f3835489fe7124afca90570dc8bdae4a4b67a33b38,8357,9346,46947,53304,4453.248866327631,,cac6620a234d9af4a26c926fd55fe66e6fc7a76b3f25cc9b298035384c181b4c,-169577.2130215897,188034,85,1.0,15,3583,53304,"[1,85,2091,15438,34735,38385,35593,32379,29327]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":12,""10plus"":57,""2to4"":7,""5to9"":9},{""1"":566,""10plus"":724,""2to4"":509,""5to9"":292},{""1"":8706,""10plus"":949,""2to4"":4439,""5to9"":1344},{""1"":29646,""10plus"":14,""2to4"":4795,""5to9"":280},{""1"":37731,""10plus"":0,""2to4"":652,""5to9"":2},{""1"":35530,""10plus"":0,""2to4"":63,""5to9"":0},{""1"":32371,""10plus"":0,""2to4"":8,""5to9"":0},{""1"":29326,""10plus"":0,""2to4"":1,""5to9"":0}]",0.9877207920035289,0.27101778393625864,1465311232
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,4,original,8,100,0.5,8884,c64af18b135f5e0cccba3d3f87727388ab863c5f9ff37252172e1422b3a7031a,8321,9346,46719,53304,-10424.175467546913,,ee35300596bcc4033b9b60df00a551e9bbb1eb220e7f0464b8234b1425c90796,-159173.88442483844,167218,83,0.0,17,3589,53304,"[1,83,1832,11447,25615,33345,33993,31851,29051]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":9,""10plus"":56,""2to4"":9,""5to9"":9},{""1"":486,""10plus"":631,""2to4"":450,""5to9"":265},{""1"":6332,""10plus"":902,""2to4"":3213,""5to9"":1000},{""1"":19782,""10plus"":357,""2to4"":4677,""5to9"":799},{""1"":30275,""10plus"":59,""2to4"":2760,""5to9"":251},{""1"":32896,""10plus"":3,""2to4"":1053,""5to9"":41},{""1"":31507,""10plus"":2,""2to4"":335,""5to9"":7},{""1"":28901,""10plus"":2,""2to4"":146,""5to9"":2}]",0.585502166999504,0.2699435370705032,1465311232
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,4,shuffled,8,100,0.5,8884,c64af18b135f5e0cccba3d3f87727388ab863c5f9ff37252172e1422b3a7031a,8321,9346,46719,53304,4386.19907480813,,bb4127a9aeada90734ac9eb0d1f90d6ee39d73827c5c931997d26aed3ae4476d,-169598.05989238535,187903,83,1.0,17,3589,53304,"[1,84,2083,15473,34642,38388,35584,32350,29298]","[{""1"":0,""10plus"":1,""2to4"":0,""5to9"":0},{""1"":11,""10plus"":56,""2to4"":8,""5to9"":9},{""1"":560,""10plus"":717,""2to4"":494,""5to9"":312},{""1"":8744,""10plus"":926,""2to4"":4452,""5to9"":1351},{""1"":29529,""10plus"":11,""2to4"":4821,""5to9"":281},{""1"":37760,""10plus"":0,""2to4"":628,""5to9"":0},{""1"":35549,""10plus"":0,""2to4"":35,""5to9"":0},{""1"":32346,""10plus"":0,""2to4"":4,""5to9"":0},{""1"":29297,""10plus"":0,""2to4"":1,""5to9"":0}]",0.9837505420000525,0.26994065602411865,1465311232
