variant,block,symbol_id,symbol,count,empirical_frequency,smoothed_frequency
ud23,ATHENAEUS,0,ADJ:advcl,36,0.001556218389313967,0.001574429538886253
ud23,ATHENAEUS,1,ADJ:advmod,151,0.006527471577400251,0.006534960962774447
ud23,ATHENAEUS,2,ADJ:amod,169,0.007305580772057234,0.007311391968252599
ud23,ATHENAEUS,3,ADJ:appos,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,4,ADJ:conj,124,0.005360307785414776,0.005370314454557218
ud23,ATHENAEUS,5,ADJ:iobj,10,0.00043228288592054643,0.00045291808652892206
ud23,ATHENAEUS,6,ADJ:nmod,1122,0.04850213980028531,0.04841910020273476
ud23,ATHENAEUS,7,ADJ:nsubj,96,0.0041499157048372455,0.004162532890480093
ud23,ATHENAEUS,8,ADJ:obj,183,0.007910776812345999,0.007915282750291162
ud23,ATHENAEUS,9,ADJ:obl,120,0.005187394631046557,0.005197774231117629
ud23,ATHENAEUS,10,ADJ:parataxis,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,11,ADJ:root,72,0.003112436778627934,0.0031272915498425573
ud23,ATHENAEUS,12,ADJ:xcomp,179,0.007737863657977781,0.007742742526851572
ud23,ATHENAEUS,13,ADP:advcl,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,14,ADP:case,1770,0.07651407080793671,0.07637061639994824
ud23,ATHENAEUS,15,ADP:cc,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,16,ADP:conj,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,17,ADP:mark,4,0.00017291315436821856,0.00019410775136953802
ud23,ATHENAEUS,18,ADP:nmod,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,19,ADP:nsubj,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,20,ADP:obj,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,21,ADP:root,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,22,ADV_PART:acl,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,23,ADV_PART:advcl,3,0.00012968486577616392,0.0001509726955096407
ud23,ATHENAEUS,24,ADV_PART:advmod,3076,0.13297021570916007,0.13270499935297417
ud23,ATHENAEUS,25,ADV_PART:case,2,8.645657718410928e-05,0.00010783763964974335
ud23,ATHENAEUS,26,ADV_PART:cc,4,0.00017291315436821856,0.00019410775136953802
ud23,ATHENAEUS,27,ADV_PART:conj,6,0.00025936973155232785,0.0002803778630893327
ud23,ATHENAEUS,28,ADV_PART:mark,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,29,ADV_PART:nmod,29,0.0012536203691695847,0.0012724841478669714
ud23,ATHENAEUS,30,ADV_PART:nsubj,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,31,ADV_PART:obj,8,0.0003458263087364371,0.00036664797480912735
ud23,ATHENAEUS,32,ADV_PART:obl,2,8.645657718410928e-05,0.00010783763964974335
ud23,ATHENAEUS,33,ADV_PART:root,3,0.00012968486577616392,0.0001509726955096407
ud23,ATHENAEUS,34,ADV_PART:xcomp,3,0.00012968486577616392,0.0001509726955096407
ud23,ATHENAEUS,35,AUX:aux,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,36,AUX:conj,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,37,AUX:cop,355,0.015346042450179398,0.015334512358193504
ud23,ATHENAEUS,38,CCONJ:advmod,4,0.00017291315436821856,0.00019410775136953802
ud23,ATHENAEUS,39,CCONJ:case,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,40,CCONJ:cc,797,0.034452946007867545,0.03440020704826813
ud23,ATHENAEUS,41,CCONJ:conj,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,42,CCONJ:mark,32,0.0013833052349457484,0.0014018893154466635
ud23,ATHENAEUS,43,CCONJ:nmod,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,44,CCONJ:obj,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,45,CCONJ:obl,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,46,DET:advmod,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,47,DET:det,3040,0.1314139973198461,0.13115213734201786
ud23,ATHENAEUS,48,DET:root,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,49,DET:xcomp,3,0.00012968486577616392,0.0001509726955096407
ud23,ATHENAEUS,50,NOUN:acl,11,0.00047551117451260106,0.0004960531423888194
ud23,ATHENAEUS,51,NOUN:advcl,14,0.000605196040288765,0.0006254583099685114
ud23,ATHENAEUS,52,NOUN:appos,36,0.001556218389313967,0.001574429538886253
ud23,ATHENAEUS,53,NOUN:case,1,4.322828859205464e-05,6.4702583789846e-05
ud23,ATHENAEUS,54,NOUN:conj,348,0.015043444430035014,0.015032566967174223
ud23,ATHENAEUS,55,NOUN:iobj,62,0.002680153892707388,0.0026959409912435837
ud23,ATHENAEUS,56,NOUN:nmod,1163,0.05027449963255955,0.05018763749299055
ud23,ATHENAEUS,57,NOUN:nsubj,1274,0.055072839666277615,0.05497562869343916
ud23,ATHENAEUS,58,NOUN:obj,1250,0.0540353607400683,0.05394038735280162
ud23,ATHENAEUS,59,NOUN:obl,1275,0.05511606795486967,0.05501876374929906
ud23,ATHENAEUS,60,NOUN:root,58,0.0025072407383391693,0.0025234007678039943
ud23,ATHENAEUS,61,NOUN:xcomp,149,0.006441015000216142,0.006448690851054652
ud23,ATHENAEUS,62,NUM:advcl,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,63,NUM:conj,2,8.645657718410928e-05,0.00010783763964974335
ud23,ATHENAEUS,64,NUM:nsubj,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,65,NUM:nummod,14,0.000605196040288765,0.0006254583099685114
ud23,ATHENAEUS,66,NUM:obj,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,67,NUM:obl,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,68,NUM:root,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,69,NUM:xcomp,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,70,PRON:acl,5,0.00021614144296027321,0.00023724280722943537
ud23,ATHENAEUS,71,PRON:advcl,3,0.00012968486577616392,0.0001509726955096407
ud23,ATHENAEUS,72,PRON:appos,0,0.0,2.156752792994867e-05
ud23,ATHENAEUS,73,PRON:conj,14,0.000605196040288765,0.0006254583099685114
ud23,ATHENAEUS,74,PRON:iobj,68,0.0029395236242597154,0.002954751326402968
ud23,ATHENAEUS,75,PRON:nmod,228,0.009856049798988457,0.009856360263986542
ud23,ATHENAEUS,76,PRON:nsubj,319,0.01378982406086543,0.0137816503472372
ud23,ATHENAEUS,77,PRON:obj,441,0.019063675269096095,0.019044127162144674
