cell,level,unit,aggregation,past_band,metric,mean,sd,min,max,S,reason
C0,block,ATHENAEUS,not_applicable,4_7,ce_ctw_original,4.171895870531096,0.0025614730384304896,4.166449558650574,4.176072006574313,20,
C0,block,ATHENAEUS,not_applicable,4_7,ce_ctw_shuffled,4.532227741785195,0.015905358242514142,4.498033831623996,4.561578251011845,20,
C0,block,ATHENAEUS,not_applicable,4_7,ce_root_original,4.605758396250016,0.0015681529155410067,4.602612563939019,4.608216433633806,20,
C0,block,ATHENAEUS,not_applicable,4_7,ce_root_shuffled,4.532227741785196,0.015905358242514194,4.498033831623996,4.561578251011846,20,
C0,block,ATHENAEUS,not_applicable,4_7,g_original,0.4338625257189211,0.0027858810817959303,0.42977650816481106,0.4384727454628665,20,
C0,block,ATHENAEUS,not_applicable,4_7,g_shuffled,1.7763568394002506e-16,3.645007325606124e-16,0.0,8.881784197001252e-16,20,
C0,block,ATHENAEUS,not_applicable,4_7,q,0.4338625257189209,0.002785881081795937,0.42977650816481106,0.43847274546286563,20,
C0,block,ATHENAEUS,not_applicable,all,ce_ctw_original,4.233885107710907,0.001429009932663317,4.23146333223468,4.236668588469771,20,
C0,block,ATHENAEUS,not_applicable,all,ce_ctw_shuffled,4.561370121522213,0.005826336051488756,4.553358016611881,4.571146354124559,20,
C0,block,ATHENAEUS,not_applicable,all,ce_root_original,4.685964669279345,0.0011551046131588344,4.683461875471187,4.68779269779942,20,
C0,block,ATHENAEUS,not_applicable,all,ce_root_shuffled,4.561370121522213,0.005826336051488808,4.553358016611881,4.571146354124559,20,
C0,block,ATHENAEUS,not_applicable,all,g_original,0.45207956156843665,0.0018503588088662488,0.44817173012612344,0.45542075065963505,20,
C0,block,ATHENAEUS,not_applicable,all,g_shuffled,8.881784197001253e-17,2.7337554942045927e-16,0.0,8.881784197001252e-16,20,
C0,block,ATHENAEUS,not_applicable,all,q,0.45207956156843665,0.0018503588088661822,0.44817173012612344,0.45542075065963505,20,
