cell,reference,level,unit,aggregation,past_band,seed,metric,value,reference_value,difference
D12,C0,group,HEX,equal_block,all,0,ce_ctw_original,4.613495024723953,4.613495024723953,0.0
D12,C0,group,PROSE_ALL,equal_block,all,0,ce_ctw_original,4.239180053983845,4.239180054007151,-2.3305801732931286e-11
D12,C0,group,contrast,equal_block,all,0,ce_ctw_original,0.3743149707401079,0.3743149707168021,2.3305801732931286e-11
D12,C0,group,HEX,eligible_token_weighted,all,0,ce_ctw_original,4.568566491627263,4.568566491627263,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,0,ce_ctw_original,4.232477770975531,4.232477770990543,-1.5011991649771517e-11
D12,C0,group,contrast,eligible_token_weighted,all,0,ce_ctw_original,0.33608872065173223,0.33608872063672024,1.5011991649771517e-11
D12,C0,group,HEX,equal_block,all,1,ce_ctw_original,4.610026089747138,4.610026089747138,0.0
D12,C0,group,PROSE_ALL,equal_block,all,1,ce_ctw_original,4.23798935294253,4.237989352942693,-1.6253665080512292e-13
D12,C0,group,contrast,equal_block,all,1,ce_ctw_original,0.372036736804608,0.3720367368044455,1.6253665080512292e-13
D12,C0,group,HEX,eligible_token_weighted,all,1,ce_ctw_original,4.567513843715225,4.567513843715225,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,1,ce_ctw_original,4.231661482345714,4.231661482345903,-1.8829382497642655e-13
D12,C0,group,contrast,eligible_token_weighted,all,1,ce_ctw_original,0.33585236136951035,0.33585236136932206,1.8829382497642655e-13
D12,C0,group,HEX,equal_block,all,2,ce_ctw_original,4.60535222488175,4.60535222488175,0.0
D12,C0,group,PROSE_ALL,equal_block,all,2,ce_ctw_original,4.235784023703934,4.235784023708719,-4.785505325344275e-12
D12,C0,group,contrast,equal_block,all,2,ce_ctw_original,0.36956820117781586,0.36956820117303035,4.785505325344275e-12
D12,C0,group,HEX,eligible_token_weighted,all,2,ce_ctw_original,4.56379929808137,4.56379929808137,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,2,ce_ctw_original,4.229435184734405,4.229435184737353,-2.9478641749847156e-12
D12,C0,group,contrast,eligible_token_weighted,all,2,ce_ctw_original,0.3343641133469646,0.3343641133440167,2.9478641749847156e-12
D12,C0,group,HEX,equal_block,all,3,ce_ctw_original,4.615357288816858,4.615357288816858,0.0
D12,C0,group,PROSE_ALL,equal_block,all,3,ce_ctw_original,4.2347167320915515,4.2347167320917105,-1.5898393712632242e-13
D12,C0,group,contrast,equal_block,all,3,ce_ctw_original,0.3806405567253064,0.3806405567251474,1.5898393712632242e-13
D12,C0,group,HEX,eligible_token_weighted,all,3,ce_ctw_original,4.56795829417285,4.56795829417285,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,3,ce_ctw_original,4.228622285604478,4.228622285604575,-9.681144774731365e-14
D12,C0,group,contrast,eligible_token_weighted,all,3,ce_ctw_original,0.3393360085683712,0.3393360085682744,9.681144774731365e-14
D12,C0,group,HEX,equal_block,all,4,ce_ctw_original,4.619357556673597,4.619357556673597,0.0
D12,C0,group,PROSE_ALL,equal_block,all,4,ce_ctw_original,4.236915610651016,4.236915611012658,-3.616422716845591e-10
D12,C0,group,contrast,equal_block,all,4,ce_ctw_original,0.3824419460225812,0.3824419456609389,3.616422716845591e-10
D12,C0,group,HEX,eligible_token_weighted,all,4,ce_ctw_original,4.569725994060612,4.569725994060612,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,4,ce_ctw_original,4.230369765067231,4.230369765289673,-2.2244162067863726e-10
D12,C0,group,contrast,eligible_token_weighted,all,4,ce_ctw_original,0.33935622899338025,0.33935622877093863,2.2244162067863726e-10
D12,C0,group,HEX,equal_block,all,5,ce_ctw_original,4.608222690112333,4.608222690112333,0.0
D12,C0,group,PROSE_ALL,equal_block,all,5,ce_ctw_original,4.234050751168104,4.2340507511681285,-2.4868995751603507e-14
D12,C0,group,contrast,equal_block,all,5,ce_ctw_original,0.3741719389442295,0.37417193894420464,2.4868995751603507e-14
D12,C0,group,HEX,eligible_token_weighted,all,5,ce_ctw_original,4.5690971769634094,4.5690971769634094,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,5,ce_ctw_original,4.227842897863875,4.227842897863892,-1.687538997430238e-14
D12,C0,group,contrast,eligible_token_weighted,all,5,ce_ctw_original,0.34125427909953476,0.3412542790995179,1.687538997430238e-14
D12,C0,group,HEX,equal_block,all,6,ce_ctw_original,4.606705129394959,4.606705129394959,0.0
D12,C0,group,PROSE_ALL,equal_block,all,6,ce_ctw_original,4.238281998038284,4.238281998765653,-7.273692759213191e-10
D12,C0,group,contrast,equal_block,all,6,ce_ctw_original,0.3684231313566748,0.36842313062930554,7.273692759213191e-10
D12,C0,group,HEX,eligible_token_weighted,all,6,ce_ctw_original,4.566545871158108,4.566545871158108,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,6,ce_ctw_original,4.231482424091794,4.231482424560972,-4.691775856713321e-10
D12,C0,group,contrast,eligible_token_weighted,all,6,ce_ctw_original,0.33506344706631364,0.33506344659713605,4.691775856713321e-10
D12,C0,group,HEX,equal_block,all,7,ce_ctw_original,4.611802485954169,4.611802485954169,0.0
D12,C0,group,PROSE_ALL,equal_block,all,7,ce_ctw_original,4.233660296507368,4.233660296699439,-1.9207035961699148e-10
D12,C0,group,contrast,equal_block,all,7,ce_ctw_original,0.3781421894468009,0.37814218925473053,1.9207035961699148e-10
D12,C0,group,HEX,eligible_token_weighted,all,7,ce_ctw_original,4.571255687461729,4.571255687461729,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,7,ce_ctw_original,4.227340991015276,4.227340991266777,-2.5150104221438596e-10
D12,C0,group,contrast,eligible_token_weighted,all,7,ce_ctw_original,0.3439146964464532,0.3439146961949522,2.5150104221438596e-10
D12,C0,group,HEX,equal_block,all,8,ce_ctw_original,4.611033626575005,4.611033626575005,0.0
D12,C0,group,PROSE_ALL,equal_block,all,8,ce_ctw_original,4.233407338286236,4.233407338292842,-6.6062710857295315e-12
D12,C0,group,contrast,equal_block,all,8,ce_ctw_original,0.3776262882887691,0.3776262882821628,6.6062710857295315e-12
D12,C0,group,HEX,eligible_token_weighted,all,8,ce_ctw_original,4.570086554165009,4.570086554165009,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,8,ce_ctw_original,4.226807498877778,4.226807498885921,-8.142819751810748e-12
D12,C0,group,contrast,eligible_token_weighted,all,8,ce_ctw_original,0.3432790552872307,0.34327905527908786,8.142819751810748e-12
D12,C0,group,HEX,equal_block,all,9,ce_ctw_original,4.603472212781172,4.603472212781172,0.0
D12,C0,group,PROSE_ALL,equal_block,all,9,ce_ctw_original,4.236884182540845,4.236884182697604,-1.567581620065539e-10
D12,C0,group,contrast,equal_block,all,9,ce_ctw_original,0.3665880302403268,0.36658803008356866,1.567581620065539e-10
D12,C0,group,HEX,eligible_token_weighted,all,9,ce_ctw_original,4.567884120892702,4.567884120892702,0.0
D12,C0,group,PROSE_ALL,eligible_token_weighted,all,9,ce_ctw_original,4.230491108639868,4.230491108736287,-9.64188728858062e-11
D12,C0,group,contrast,eligible_token_weighted,all,9,ce_ctw_original,0.3373930122528339,0.33739301215641504,9.64188728858062e-11
D12,C0,block,ATHENAEUS,not_applicable,4_7,0,ce_ctw_original,4.172042077711933,4.172042077711933,0.0
D12,C0,block,ATHENAEUS,not_applicable,ge8,0,ce_ctw_original,4.267102847562822,4.267102847562822,0.0
D12,C0,block,ATHENAEUS,not_applicable,4_7,1,ce_ctw_original,4.176072006574313,4.176072006574313,0.0
D12,C0,block,ATHENAEUS,not_applicable,ge8,1,ce_ctw_original,4.265229932758025,4.265229932758025,0.0
D12,C0,block,ATHENAEUS,not_applicable,4_7,2,ce_ctw_original,4.172501215784211,4.172501215784211,0.0
D12,C0,block,ATHENAEUS,not_applicable,ge8,2,ce_ctw_original,4.266731122638249,4.266731122638249,0.0
D12,C0,block,ATHENAEUS,not_applicable,4_7,3,ce_ctw_original,4.174626881429877,4.174626881429877,0.0
D12,C0,block,ATHENAEUS,not_applicable,ge8,3,ce_ctw_original,4.26319005445113,4.26319005445113,0.0
D12,C0,block,ATHENAEUS,not_applicable,4_7,4,ce_ctw_original,4.171240455614699,4.171240455614699,0.0
D12,C0,block,ATHENAEUS,not_applicable,ge8,4,ce_ctw_original,4.268006704221361,4.268006704221361,0.0
D12,C0,block,ATHENAEUS,not_applicable,4_7,5,ce_ctw_original,4.171272580507442,4.171272580507442,0.0
D12,C0,block,ATHENAEUS,not_applicable,ge8,5,ce_ctw_original,4.266865588150369,4.266865588150369,0.0
D12,C0,block,ATHENAEUS,not_applicable,4_7,6,ce_ctw_original,4.172910467974903,4.172910468040095,-6.519140782756949e-11
D12,C0,block,ATHENAEUS,not_applicable,ge8,6,ce_ctw_original,4.268316310120113,4.26831631027541,-1.552971085061472e-10
D12,C0,block,ATHENAEUS,not_applicable,4_7,7,ce_ctw_original,4.167560446676041,4.167560447062975,-3.8693404036393986e-10
D12,C0,block,ATHENAEUS,not_applicable,ge8,7,ce_ctw_original,4.265305304141998,4.2653053050988,-9.56801748941416e-10
D12,C0,block,ATHENAEUS,not_applicable,4_7,8,ce_ctw_original,4.169483352627025,4.169483352638087,-1.106226221736506e-11
D12,C0,block,ATHENAEUS,not_applicable,ge8,8,ce_ctw_original,4.265716122348243,4.265716122377397,-2.915445662665661e-11
D12,C0,block,ATHENAEUS,not_applicable,4_7,9,ce_ctw_original,4.168582081784332,4.168582081784332,0.0
D12,C0,block,ATHENAEUS,not_applicable,ge8,9,ce_ctw_original,4.264561585795209,4.264561585795209,0.0
D12,C0,block,DIODORUS,not_applicable,4_7,0,ce_ctw_original,3.8787305228682,3.8787305228682,0.0
D12,C0,block,DIODORUS,not_applicable,ge8,0,ce_ctw_original,4.028541424463141,4.028541424463141,0.0
D12,C0,block,DIODORUS,not_applicable,4_7,1,ce_ctw_original,3.8826781405527475,3.8826781405527475,0.0
D12,C0,block,DIODORUS,not_applicable,ge8,1,ce_ctw_original,4.032257252723691,4.032257252723691,0.0
D12,C0,block,DIODORUS,not_applicable,4_7,2,ce_ctw_original,3.88773665641067,3.88773665641067,0.0
D12,C0,block,DIODORUS,not_applicable,ge8,2,ce_ctw_original,4.023764433111683,4.023764433111683,0.0
D12,C0,block,DIODORUS,not_applicable,4_7,3,ce_ctw_original,3.8885893873694966,3.8885893873694966,0.0
D12,C0,block,DIODORUS,not_applicable,ge8,3,ce_ctw_original,4.02718946994741,4.02718946994741,0.0
D12,C0,block,DIODORUS,not_applicable,4_7,4,ce_ctw_original,3.8826445710180475,3.8826445710180475,0.0
D12,C0,block,DIODORUS,not_applicable,ge8,4,ce_ctw_original,4.0288797258829945,4.0288797258829945,0.0
D12,C0,block,DIODORUS,not_applicable,4_7,5,ce_ctw_original,3.8768998794879184,3.8768998794879184,0.0
