language,doc_id,upos_raw,deprel_raw,upos,deprel_base,n,status
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,advcl,ADJ,advcl,19,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,advmod,ADJ,advmod,133,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,amod,ADJ,amod,67,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,appos,ADJ,appos,4,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,conj,ADJ,conj,62,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,iobj,ADJ,iobj,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,nmod,ADJ,nmod,325,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,nsubj,ADJ,nsubj,62,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,obj,ADJ,obj,87,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,obl,ADJ,obl,72,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,root,ADJ,root,21,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADJ,xcomp,ADJ,xcomp,88,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADP,case,ADP,case,683,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADP,nmod,ADP,nmod,3,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADP,obj,ADP,obj,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,advmod,ADV,advmod,1440,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,cc,ADV,cc,2,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,conj,ADV,conj,6,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,nmod,ADV,nmod,24,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,nsubj,ADV,nsubj,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,obj,ADV,obj,2,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,obl,ADV,obl,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,root,ADV,root,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,ADV,xcomp,ADV,xcomp,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,AUX,cop,AUX,cop,135,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,CCONJ,advmod,CCONJ,advmod,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,CCONJ,cc,CCONJ,cc,468,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,CCONJ,mark,CCONJ,mark,31,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,DET,advmod,DET,advmod,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,DET,det,DET,det,1198,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,INTJ,discourse,INTJ,discourse,8,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,acl,NOUN,acl,10,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,advcl,NOUN,advcl,6,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,appos,NOUN,appos,6,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,conj,NOUN,conj,154,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,iobj,NOUN,iobj,19,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,nmod,NOUN,nmod,354,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,nsubj,NOUN,nsubj,352,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,obj,NOUN,obj,415,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,obl,NOUN,obl,467,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,root,NOUN,root,15,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,vocative,NOUN,vocative,7,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,NOUN,xcomp,NOUN,xcomp,38,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,advcl,PRON,advcl,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,appos,PRON,appos,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,conj,PRON,conj,9,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,iobj,PRON,iobj,25,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,nmod,PRON,nmod,96,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,nsubj,PRON,nsubj,144,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,obj,PRON,obj,208,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,obl,PRON,obl,167,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,root,PRON,root,2,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PRON,xcomp,PRON,xcomp,7,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,PUNCT,punct,PUNCT,punct,1035,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,SCONJ,mark,SCONJ,mark,155,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,acl,VERB,acl,88,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,advcl,VERB,advcl,499,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,appos,VERB,appos,4,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,ccomp,VERB,ccomp,76,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,conj,VERB,conj,275,PROVISIONAL
